,ERR2731369
DGKB,0.026971277150152073
ATXN2L,74.1706438192912
SIN3A,31.078346089343054
SIRT3,15.867532582917095
KDM4C,7.371136081993674
STPG1,6.997696533188057
COX18,10.4602608784732
CCL20,0.27142677352665023
LILRA3,0.0
NIPAL3,12.128588924314396
CRACR2A,1.9532373539070393
ABCC6,0.22316447574238127
RCAN3AS,0.0
CCDC168,0.042174183348155814
WDSUB1,12.025554522918075
SPDYE6,0.3951236465143589
LHCGR,0.14718460931159058
NUDT1,38.90196429890574
NKAIN3,0.0
ATRIP,0.3117429675090663
ACTN1,617.4865304781329
POGLUT2,40.125424821211844
COX4I1,716.5674124066085
TLR2,8.138815750621411
ST3GAL3,19.562383639861366
LIMCH1,5.50077356114991
KHDRBS2,0.0
SEPTIN10,47.48257713120269
ACYP1,16.977744684091974
RDX,53.022300449357175
CEP57L1,8.857590434422292
ENTPD6,41.03071795384738
CAMK2D,72.35282119326493
TMTC1,12.923864106069383
TXNDC15,77.99300078966623
ADGRL2,32.3114619499851
DDX31,9.894849711810965
NHLRC4,3.186027151276802
ZBTB44,16.1479815686841
PUF60,66.06526434721233
SRPK2,25.885700276089718
AGER,1.5269025942752712
SMIM32,0.0
SFXN2,4.175974284909809
MTRR,20.3429463684265
TCP11,0.4657817471630172
COMMD4P1,0.12213106507754322
TBILA,0.3505987544469174
UBXN2B,10.175364502533967
FAM92A,19.274079840555732
LCORL,1.9490645803795625
FANCL,22.61151514857494
USP17L11,0.0
USP17L12,0.0
USP17L10,0.0
RSRP1,39.95419686756649
FPR1,0.5173512854471907
ZNF25,8.535687977637624
UNC13B,6.791482660189775
RABL2B,20.119900728885494
CMC2,3.5065727508014755
EPB41L2,87.6946828166758
FLCN,72.64630555618713
NAT1,7.93897113069938
INPP4A,8.470133109502841
CEP63,11.158139953732231
MYCN,0.3098835443137937
MTFR1L,58.40589099257608
FLOT2,117.24633153832272
GRAP2,0.20499880382270894
GSS,51.49593801067067
HPS1,109.1522461083348
TASP1,12.524738001879957
PSG1,0.6120173818755696
FAM126B,5.29493376364101
ATL3,42.89394277283254
FXYD3,1.4566919505870422
C1orf232,0.0
RPL24,2487.643828235762
RPL17,38.19866568875547
RPL23A,794.7451480642642
APP,709.654027484702
SEZ6L,0.10312980825568399
SLC8A3,0.16083121074332243
ZNF148,11.953379635501296
SLC6A9,17.84392491585654
DUS4L,3.9472067472818875
IFNA7,0.0
PCDHB16,15.80893260522245
PPP4R4,0.5139209201671084
PCDH15,0.6453494578917973
MTAP,17.319251042680033
MSX1,18.757033362910082
HAS2,36.81180804931263
FAM24B,8.905415993347736
CDC25B,66.65711005137507
IL1R1,158.03974681241172
FAM126A,25.574720697507363
ICA1L,3.1602164266837867
RHOH,0.1879108432107579
OAZ2,236.6115882722642
TPM1,297.349977720772
BRD2,20.095378807613585
ADAMTSL3,1.640137558909774
DDX24,57.00882747562195
ARHGAP12,36.07285746133549
PITRM1,46.469286450216856
BNIP2,49.489420802046716
RAPGEF1,37.204559537045604
C21orf62,0.1525403835048695
TMEM121B,0.7599306467339747
SAMD1,62.81171995908172
KLC4,29.638567569951835
ACTG1P20,2.1339548371156325
RAB7A,474.0818286767651
SEMA3B,16.898925070888208
MAPKAPK3,41.78474429069259
DAP3,130.03252356151634
LRP8,4.219808369563001
CABP1,0.0
ZNF320,6.908049947306095
DST,27.222570512868124
DISC1,0.01682047325911921
LINC02574,0.513310496873529
B3GALNT1,17.74532088053751
VPS37A,12.540708714110927
MXD3,11.42496567019214
MED16,38.00352810954275
IKBKE,18.375089925581026
ALG13,17.012770977280493
SCARNA1,0.0
ANKRD11,25.1867640917848
CYTOR,56.54665840801485
HDAC2,45.86195966611859
NEK4,8.018954265262812
PTK2,41.67987540389377
CADPS2,9.746227655097478
TIMM23B,4.6296206053915725
SMUG1,15.317053608629989
TRPM3,0.11293303701649943
DNAJC8,156.82525990754814
OAZ3,2.0280582387140584
SDF4,480.63905203265057
HEMK1,5.5947695015062076
UBAC1,55.497143913590975
NSA2,61.853403607825115
CAMTA1,6.980615004586193
DOK7,0.0
ADORA1,12.59587471061209
DEFB115,0.0
DEFB113,0.0
ATP23,3.840506271339191
RAB27A,21.41831227082397
IKZF3,0.17873661991411474
UBE2W,11.353545991647438
SNORA73A,21.87149073635037
SNORA73B,176.12684729188098
STAT6,195.2190946106259
PARP4,58.80955028209164
GOLGA8N,0.22794394202616491
TRNAU1AP,36.960648476865245
TIMM9,53.796745880231555
PTGR2,9.024535250237479
FBXL2,7.961867816011015
SNORA61,0.0
SNORA44,20.579084465566034
SNORA16A,27.02924526820613
ZNF670,3.101327358701576
C19orf84,0.0
ACRV1,0.0
LINC01715,1.522667684671926
RNU11,0.0
STAU1,121.52183504431774
TIAM1,2.5057979211307413
NARF,32.41679975779773
PLEKHM1,7.031156898748566
VWA7,0.07765692251156993
DMAC1,44.43931550212081
CNTLN,5.955473696103756
HACD4,10.85299147540308
FAM219A,36.393080511670405
C4orf33,4.601962017647164
FBXO9,39.458566164073204
UBE2C,0.8726674214388064
STIM1,41.49945113063998
GAPVD1,12.082906140758984
ADCYAP1R1,19.649232848810374
TPM3,86.80328519087274
SLC26A5,0.23297076753470977
JOSD1,65.17591789608575
ENDOU,0.09523345777081463
ZNF20,0.0
BFSP1,4.305098928654028
OTOA,0.0
CHN1,11.083916218629996
